league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ITA-Serie B,2425,Bari,Giulio Maggiore,ITA,MF,26.0,1998.0,13,10,802,8.9,3,0,3,3,0,0,2,0,0.34,0.0,0.34,0.34,0.34
ITA-Serie B,2425,Bari,Giuseppe Sibilli,ITA,"MF,FW",27.0,1996.0,19,11,878,9.8,1,3,4,0,1,1,3,0,0.1,0.31,0.41,0.0,0.31
ITA-Serie B,2425,Bari,Gregorio Morachioli,ITA,FW,24.0,2000.0,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Bari,Karlo Lulić,CRO,MF,28.0,1996.0,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Bari,Kevin Lasagna,ITA,FW,31.0,1992.0,34,26,2148,23.9,7,0,7,7,0,1,1,0,0.29,0.0,0.29,0.29,0.29
ITA-Serie B,2425,Bari,Lorenco Šimić,CRO,DF,28.0,1996.0,14,12,1073,11.9,2,0,2,2,0,0,1,0,0.17,0.0,0.17,0.17,0.17
ITA-Serie B,2425,Bari,Lorenzo Sgarbi,ITA,MF,23.0,2001.0,8,1,212,2.4,0,2,2,0,0,0,0,0,0.0,0.85,0.85,0.0,0.85
ITA-Serie B,2425,Bari,Marco Pissardo,ITA,GK,26.0,1998.0,2,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Bari,Mattia Maita,ITA,MF,31.0,1993.0,35,33,2701,30.0,1,2,3,1,0,0,10,0,0.03,0.07,0.1,0.03,0.1
ITA-Serie B,2425,Bari,Mehdi Dorval,ALG,MF,23.0,2001.0,37,37,3091,34.3,4,5,9,4,0,0,4,0,0.12,0.15,0.26,0.12,0.26
ITA-Serie B,2425,Bari,Nicholas Bonfanti,ITA,FW,22.0,2002.0,16,8,742,8.2,2,1,3,2,0,0,1,0,0.24,0.12,0.36,0.24,0.36
ITA-Serie B,2425,Bari,Nicola Bellomo,ITA,"MF,FW",33.0,1991.0,19,5,522,5.8,1,1,2,1,0,0,3,0,0.17,0.17,0.34,0.17,0.34
ITA-Serie B,2425,Bari,Nosa Edward Obaretin,ITA,DF,21.0,2003.0,25,20,1805,20.1,0,1,1,0,0,0,6,0,0.0,0.05,0.05,0.0,0.05
ITA-Serie B,2425,Bari,Nunzio Lella,ITA,MF,24.0,2000.0,25,14,1386,15.4,2,0,2,2,0,0,2,1,0.13,0.0,0.13,0.13,0.13
ITA-Serie B,2425,Bari,Raffaele Maiello,ITA,MF,33.0,1991.0,14,7,618,6.9,1,0,1,1,0,0,3,0,0.15,0.0,0.15,0.15,0.15
ITA-Serie B,2425,Bari,Raffaele Pucino,ITA,DF,33.0,1991.0,30,28,2553,28.4,1,4,5,1,0,0,7,0,0.04,0.14,0.18,0.04,0.18
ITA-Serie B,2425,Bari,Valerio Mantovani,ITA,DF,28.0,1996.0,33,33,2939,32.7,1,0,1,1,0,0,7,0,0.03,0.0,0.03,0.03,0.03
ITA-Serie B,2425,Brescia,Alexander Jallow,SWE,DF,26.0,1998.0,33,24,2205,24.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Brescia,Andrea Cistana,ITA,DF,27.0,1997.0,22,19,1706,19.0,1,1,2,1,0,0,2,2,0.05,0.05,0.11,0.05,0.11
ITA-Serie B,2425,Brescia,Andrea Papetti,ITA,DF,22.0,2002.0,17,14,1155,12.8,0,1,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08
ITA-Serie B,2425,Brescia,Ante Jurič,CRO,FW,21.0,2002.0,30,12,1281,14.2,3,2,5,3,0,0,6,0,0.21,0.14,0.35,0.21,0.35
ITA-Serie B,2425,Brescia,Birkir Bjarnason,ISL,MF,36.0,1988.0,27,5,712,7.9,4,1,5,4,0,0,4,0,0.51,0.13,0.63,0.51,0.63
ITA-Serie B,2425,Brescia,Davide Adorni,ITA,DF,31.0,1992.0,36,36,3220,35.8,3,0,3,3,0,0,11,0,0.08,0.0,0.08,0.08,0.08
ITA-Serie B,2425,Brescia,Dimitri Bisoli,ITA,MF,30.0,1994.0,30,29,2512,27.9,1,6,7,1,0,0,8,0,0.04,0.21,0.25,0.04,0.25
ITA-Serie B,2425,Brescia,Fabrizio Paghera,ITA,MF,32.0,1991.0,6,2,144,1.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Brescia,Flavio Junior Bianchi,ITA,FW,24.0,2000.0,23,5,630,7.0,4,0,4,4,0,0,2,0,0.57,0.0,0.57,0.57,0.57
ITA-Serie B,2425,Brescia,Gabriele Calvani,ITA,DF,20.0,2004.0,20,14,1291,14.3,1,0,1,1,0,0,3,0,0.07,0.0,0.07,0.07,0.07
ITA-Serie B,2425,Brescia,Gabriele Moncini,ITA,FW,28.0,1996.0,24,13,1165,12.9,5,1,6,4,1,1,2,0,0.39,0.08,0.46,0.31,0.39
ITA-Serie B,2425,Brescia,Gennaro Borrelli,ITA,FW,24.0,2000.0,34,28,2544,28.3,6,1,7,5,1,1,8,0,0.21,0.04,0.25,0.18,0.21
ITA-Serie B,2425,Brescia,Giacomo Olzer,ITA,"MF,FW",23.0,2001.0,25,16,1203,13.4,1,1,2,1,0,0,4,0,0.07,0.07,0.15,0.07,0.15
ITA-Serie B,2425,Brescia,Lorenzo Andrenacci,ITA,GK,29.0,1995.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Brescia,Lorenzo Dickmann,ITA,"DF,MF",27.0,1996.0,36,33,2928,32.5,0,2,2,0,0,0,10,0,0.0,0.06,0.06,0.0,0.06
ITA-Serie B,2425,Brescia,Luca D'Andrea,ITA,MF,19.0,2004.0,9,4,345,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Brescia,Luca Lezzerini,ITA,GK,29.0,1995.0,37,37,3330,37.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Brescia,Massimo Bertagnoli,ITA,MF,25.0,1999.0,28,18,1490,16.6,1,1,2,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12
ITA-Serie B,2425,Brescia,Matthias Verreth,BEL,MF,26.0,1998.0,32,31,2695,29.9,4,1,5,4,0,0,8,0,0.13,0.03,0.17,0.13,0.17
ITA-Serie B,2425,Brescia,Michele Besaggio,ITA,MF,22.0,2002.0,35,23,1982,22.0,1,0,1,1,0,0,5,0,0.05,0.0,0.05,0.05,0.05
ITA-Serie B,2425,Brescia,Niccolò Corrado,ITA,"DF,MF",24.0,2000.0,36,21,1963,21.8,1,2,3,1,0,0,1,0,0.05,0.09,0.14,0.05,0.14
ITA-Serie B,2425,Brescia,Nicolas Galazzi,ITA,MF,23.0,2000.0,23,17,1463,16.3,1,5,6,1,0,0,2,0,0.06,0.31,0.37,0.06,0.37
ITA-Serie B,2425,Brescia,Patrick Nuamah,ITA,"MF,FW",18.0,2005.0,23,14,1259,14.0,1,0,1,1,0,0,3,0,0.07,0.0,0.07,0.07,0.07
ITA-Serie B,2425,Brescia,Riccardo Fogliata,ITA,MF,20.0,2004.0,6,2,235,2.6,1,0,1,1,0,0,0,0,0.38,0.0,0.38,0.38,0.38
ITA-Serie B,2425,Brescia,Trent Buhagiar,MLT,"FW,MF",26.0,1998.0,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Brescia,Zylyf Muca,ALB,DF,19.0,2005.0,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Carrarese,Alessandro Capello,ITA,"MF,FW",28.0,1995.0,11,6,441,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Carrarese,Alessandro Fontanarosa,ITA,DF,21.0,2003.0,5,2,222,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Carrarese,Devid Bouah,ITA,MF,22.0,2001.0,30,12,1350,15.0,3,0,3,3,0,0,3,0,0.2,0.0,0.2,0.2,0.2
ITA-Serie B,2425,Carrarese,Emanuele Zuelli,ITA,MF,22.0,2001.0,33,24,2061,22.9,2,3,5,2,0,0,3,0,0.09,0.13,0.22,0.09,0.22
ITA-Serie B,2425,Carrarese,Ernesto Torregrossa,VEN,"FW,MF",32.0,1992.0,11,7,413,4.6,3,1,4,3,0,0,1,0,0.65,0.22,0.87,0.65,0.87
ITA-Serie B,2425,Carrarese,Filippo Falco,ITA,"FW,MF",32.0,1992.0,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Carrarese,Filippo Melegoni,ITA,"MF,FW",25.0,1999.0,10,5,416,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Carrarese,Filippo Oliana,ITA,DF,25.0,1999.0,21,15,1467,16.3,1,0,1,1,0,0,6,0,0.06,0.0,0.06,0.06,0.06
ITA-Serie B,2425,Carrarese,Gabriele Guarino,ITA,DF,20.0,2004.0,16,14,1171,13.0,2,1,3,2,0,0,5,1,0.15,0.08,0.23,0.15,0.23
ITA-Serie B,2425,Carrarese,Giacomo Manzari,ITA,MF,23.0,2000.0,4,0,120,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Carrarese,Giuseppe Panico,ITA,"MF,FW",27.0,1997.0,15,6,651,7.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Carrarese,Hjörtur Hermannsson,ISL,DF,29.0,1995.0,3,2,151,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Carrarese,Julián Illanes,ARG,DF,27.0,1997.0,30,30,2622,29.1,1,0,1,1,0,0,9,2,0.03,0.0,0.03,0.03,0.03
ITA-Serie B,2425,Carrarese,Leonardo Capezzi,ITA,MF,29.0,1995.0,21,8,906,10.1,0,1,1,0,0,0,4,0,0.0,0.1,0.1,0.0,0.1
ITA-Serie B,2425,Carrarese,Leonardo Cerri,ITA,FW,21.0,2003.0,31,10,1090,12.1,3,1,4,3,0,0,6,0,0.25,0.08,0.33,0.25,0.33
ITA-Serie B,2425,Carrarese,Luigi Cherubini,ITA,"MF,FW",20.0,2004.0,34,20,1854,20.6,3,5,8,3,0,0,4,0,0.15,0.24,0.39,0.15,0.39
ITA-Serie B,2425,Carrarese,Manuel Cicconi,ITA,MF,27.0,1997.0,34,31,2728,30.3,3,8,11,3,0,0,9,0,0.1,0.26,0.36,0.1,0.36
